Attached 3 probes
TIME     PID      COMM                 CAP  CAP_NAME             NOTE
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296312  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
449      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
450      3296313  xfce4-panel-gen      21   SYS_ADMIN            (non-runtime process)
